Assay	Cell Type	Molecule
DNASE	stomach male embryo (58 days) and male embryo (76 days)	
DNASE	left kidney female embryo (59 days) and male embryo (91 day)	
DNASE	hematopoietic multipotent progenitor cell	
DNASE	kidney female embryo (120 days)	
DNASE	muscle of back female embryo (115 days)	
DNASE	hematopoietic multipotent progenitor cell male adult (25 years) treated with erythropoietin for 20 days, hydrocortisone succinate for 20 days, kit ligand for 20 days, interleukin-3 for 20 days	
DNASE	small intestine female embryo (120 days)	
DNASE	brain embryo (112 days)	
DNASE	stomach female embryo (105 days)	
DNASE	left kidney female embryo (98 days)	
DNASE	trophoblast cell embryo (21 week)	
DNASE	common myeloid progenitor, CD34-positive female adult (27 years)	
DNASE	eye female embryo (76 days)	
DNASE	renal cortex interstitium male embryo (108 days)	
DNASE	placenta female embryo (108 days)	
DNASE	stomach female adult (53 years)	
DNASE	small intestine female embryo (107 days)	
DNASE	large intestine female embryo (120 days)	
DNASE	kidney glomerular epithelial cell male adult (43 years) and male adult (62 years)	
DNASE	renal pelvis female embryo (96 days)	
DNASE	lung female embryo (76 days)	
DNASE	muscle of back male embryo (104 days)	
DNASE	lung female embryo (85 days)	
DNASE	spinal cord male embryo (105 days)	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 4 days, kit ligand for 4 days, hydrocortisone succinate for 4 days, erythropoietin for 4 days	
DNASE	HepG2	
DNASE	foreskin fibroblast male newborn	
DNASE	omental fat pad female adult (53 years)	
DNASE	large intestine female embryo (110 days)	
DNASE	heart female embryo (105 days)	
DNASE	renal cortex interstitium male embryo (113 days)	
DNASE	brain female embryo (96 days)	
DNASE	thyroid gland male adult (37 years)	
DNASE	liver embryo (59 days) and embryo (80 days)	
DNASE	stomach male adult (54 years)	
DNASE	thymus male embryo (127 days)	
DNASE	upper lobe of left lung male adult (37 years)	
DNASE	endodermal cell	
DNASE	forelimb muscle female embryo (108 days)	
DNASE	CD4-positive, alpha-beta T cell male adult (37 years)	
DNASE	muscle of leg male embryo (101 day)	
DNASE	gastrocnemius medialis male adult (37 years)	
DNASE	gastrocnemius medialis male adult (54 years)	
DNASE	stomach male embryo (91 day)	
DNASE	muscle of back male embryo (101 day)	
DNASE	heart female embryo (117 days)	
DNASE	kidney tubule cell female adult (80 years) and male adult (62 years)	
DNASE	fibroblast of skin of abdomen male embryo (97 days)	
DNASE	pancreas male adult (34 years)	
DNASE	trophoblast cell originated from H1-hESC	
DNASE	left kidney male embryo (96 days)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	brain female embryo (142 days)	
DNASE	small intestine male embryo (105 days)	
DNASE	heart female embryo (110 days)	
DNASE	common myeloid progenitor, CD34-positive female	
DNASE	adrenal gland male adult (37 years)	
DNASE	muscle of back female embryo (85 days)	
DNASE	muscle of leg female embryo (85 days)	
DNASE	Peyer's patch male adult (54 years)	
DNASE	amniotic stem cell	
DNASE	stomach female embryo (98 days)	
DNASE	large intestine female embryo (91 day)	
DNASE	lung female embryo (120 days)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	SW480	
DNASE	GM23248	
DNASE	muscle of trunk female embryo (120 days)	
DNASE	islet precursor cell	
DNASE	medulla oblongata male adult (78 years) and male adult (84 years)	
DNASE	right lung male embryo (115 days)	
DNASE	body of pancreas male adult (54 years)	
DNASE	mammary epithelial cell female adult (18 years)	
DNASE	gastrocnemius medialis female adult (51 year)	
DNASE	uterus female adult (53 years)	
DNASE	ELR	
DNASE	omental fat pad female adult (51 year)	
DNASE	stomach male child (3 years)	
DNASE	B cell male adult (37 years)	
DNASE	foreskin fibroblast male newborn	
DNASE	renal cortex interstitium male embryo (91 day)	
DNASE	ACHN	
DNASE	kidney tubule cell female adult (80 years) treated with 5 uM cisplatin	
DNASE	left renal pelvis male embryo (105 days)	
DNASE	iPS DF 6.9 male newborn	
DNASE	kidney male embryo (87 days)	
DNASE	right lung female embryo (91 day)	
DNASE	NCI-H226	
DNASE	right renal cortex interstitium male embryo (105 days)	
DNASE	G401	
DNASE	muscle of arm male embryo (113 days)	
DNASE	common myeloid progenitor, CD34-positive male adult	
DNASE	muscle of leg female embryo (113 days)	
DNASE	arm bone male embryo (81 day)	
DNASE	H9	
DNASE	testis male embryo	
DNASE	neural stem progenitor cell originated from H1-hESC	
DNASE	right atrium auricular region female adult (51 year)	
DNASE	common myeloid progenitor, CD34-positive male adult (49 years)	
DNASE	stomach female embryo (121 day)	
DNASE	muscle of leg female embryo (105 days)	
DNASE	muscle of leg male embryo (97 days)	
DNASE	left kidney female embryo (87 days)	
DNASE	muscle of back male embryo (97 days)	
DNASE	muscle of leg male embryo (96 days)	
DNASE	right lung female embryo (105 days)	
DNASE	NAMALWA treated with Sendai virus for 2 hours	
DNASE	renal pelvis male embryo (127 days)	
DNASE	muscle of arm male embryo (96 days)	
DNASE	heart male child (3 years)	
DNASE	brain female embryo (117 days)	
DNASE	muscle of arm female embryo (85 days)	
DNASE	heart male embryo (110 days)	
DNASE	L1-S8	
DNASE	CD8-positive, alpha-beta T cell male adult (37 years)	
DNASE	muscle of back male embryo (91 day)	
DNASE	left renal pelvis male embryo (105 days)	
DNASE	middle frontal gyrus male adult (78 years)	
DNASE	lung male embryo (103 days)	
DNASE	heart male embryo (105 days)	
DNASE	left renal pelvis male embryo (120 days)	
DNASE	common myeloid progenitor, CD34-positive female adult (50 years)	
DNASE	Peyer's patch female adult (53 years)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	hematopoietic multipotent progenitor cell	
DNASE	right kidney male embryo (87 days)	
DNASE	tibial artery male adult (37 years)	
DNASE	renal cell carcinoma	
DNASE	thymus female embryo (113 days)	
DNASE	brain female embryo (109 days)	
DNASE	Daoy	
DNASE	A673	
DNASE	muscle of arm male embryo (101 day)	
DNASE	muscle of arm female embryo (120 days)	
DNASE	muscle of back male embryo (105 days)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	ecto neural progenitor cell originated from H9	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 17 days, kit ligand for 17 days, hydrocortisone succinate for 17 days, erythropoietin for 17 days	
DNASE	hepatocyte originated from H9	
DNASE	renal pelvis male embryo (97 days)	
DNASE	heart embryo (101 day)	
DNASE	large intestine male embryo (115 days)	
DNASE	T-cell male adult (37 years)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	CD1c-positive myeloid dendritic cell	
DNASE	B cell male adult (21 year)	
DNASE	superior temporal gyrus male adult (84 years)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	iPS DF 19.11 male newborn	
DNASE	hindlimb muscle male embryo (120 days)	
DNASE	MCF 10A treated with 1 uM tamoxifen for 6 hours	
DNASE	sigmoid colon male adult (54 years)	
DNASE	heart male embryo (120 days)	
DNASE	tibial nerve female adult (51 year)	
DNASE	adipocyte	
DNASE	muscle of trunk female embryo (121 day)	
DNASE	left cardiac atrium female embryo (101 day)	
DNASE	T-cell male adult (21 year)	
DNASE	right kidney male embryo (108 days)	
DNASE	adrenal gland female embryo (108 days)	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 11 day, kit ligand for 11 day, hydrocortisone succinate for 11 day, erythropoietin for 11 day	
DNASE	brain male embryo (105 days)	
DNASE	body of pancreas female adult (53 years)	
DNASE	left kidney female embryo (147 days)	
DNASE	CD4-positive, alpha-beta T cell male adult (37 years)	
DNASE	KBM-7	
DNASE	psoas muscle male child (3 years)	
DNASE	ovary female embryo	
DNASE	RKO	
DNASE	leg bone male embryo (81 day)	
DNASE	glomerular visceral epithelial cell child (3 years)	
DNASE	foreskin melanocyte male newborn	
DNASE	embryonic facial prominence embryo (53 days) and embryo (58 days)	
DNASE	vagina female adult (53 years)	
DNASE	kidney female embryo (85 days)	
DNASE	muscle of back male embryo (96 days)	
DNASE	muscle of trunk female embryo (113 days)	
DNASE	iPS DF 19.7 male newborn	
DNASE	right lung female embryo (110 days)	
DNASE	left lung male embryo (87 days)	
DNASE	large intestine female embryo (105 days)	
DNASE	right lung female embryo (98 days)	
DNASE	leg bone male embryo (81 day)	
DNASE	CD14-positive monocyte male adult (21 year)	
DNASE	muscle of arm male embryo (120 days)	
DNASE	Peyer's patch male adult (37 years)	
DNASE	common myeloid progenitor, CD34-positive male adult (36 years)	
DNASE	left lung female embryo (108 days)	
DNASE	small intestine female embryo (91 day)	
DNASE	MM.1S	
DNASE	sigmoid colon female adult (51 year)	
DNASE	left lung female embryo (105 days)	
DNASE	common myeloid progenitor, CD34-positive female adult (33 years)	
DNASE	retina embryo (125 days) and male embryo (103 days)	
DNASE	brain male embryo (72 days) and male embryo (76 days)	
DNASE	muscle of back male embryo (108 days)	
DNASE	IMR-90	
DNASE	lung female embryo (108 days)	
DNASE	left lung male embryo (113 days)	
DNASE	OCI-LY7	
DNASE	upper lobe of left lung female adult (51 year)	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 18 days, kit ligand for 18 days, hydrocortisone succinate for 18 days, erythropoietin for 18 days	
DNASE	putamen male adult (78 years)	
DNASE	common myeloid progenitor, CD34-positive male adult (42 years)	
DNASE	placenta embryo (53 days)	
DNASE	kidney male embryo (105 days)	
DNASE	heart left ventricle female embryo (136 days)	
DNASE	small intestine female embryo (108 days)	
DNASE	LoVo	
DNASE	cerebellar cortex male adult (78 years) and male adult (84 years)	
DNASE	lung embryo (67 days)	
DNASE	transverse colon female adult (53 years)	
DNASE	brain embryo (80 days)	
DNASE	stomach female embryo (108 days)	
DNASE	umbilical cord embryo (59 days) and male embryo (76 days)	
DNASE	muscle of leg male embryo (105 days)	
DNASE	Caki2	
DNASE	muscle of arm female embryo (105 days)	
DNASE	foreskin melanocyte male newborn	
DNASE	stomach male embryo (108 days)	
DNASE	body of pancreas male adult (37 years)	
DNASE	renal cortex interstitium female embryo (120 days)	
DNASE	body of pancreas female adult (51 year)	
DNASE	large intestine male embryo (105 days)	
DNASE	limb embryo (58 days) and embryo (59 days)	
DNASE	heart female embryo (147 days)	
DNASE	heart male embryo (96 days)	
DNASE	right renal pelvis male embryo (120 days)	
DNASE	left lung female embryo (117 days)	
DNASE	thymus female embryo (98 days)	
DNASE	ovary female adult (53 years)	
DNASE	left kidney male embryo (115 days)	
DNASE	thymus male embryo (113 days)	
DNASE	placenta female embryo (105 days)	
DNASE	EH	
DNASE	renal cortex interstitium male embryo (97 days)	
DNASE	placenta embryo (102 days)	
DNASE	placenta embryo (56 days) and embryo (59 days)	
DNASE	renal pelvis female embryo (103 days)	
DNASE	right lobe of liver female adult (53 years)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	tongue male embryo (72 days)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	liver female embryo (101 day) and female embryo (113 days)	
DNASE	large intestine female embryo (107 days)	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 6 days, kit ligand for 6 days, hydrocortisone succinate for 6 days, erythropoietin for 6 days	
DNASE	common myeloid progenitor, CD34-positive male	
DNASE	small intestine female embryo (98 days)	
DNASE	CD4-positive, alpha-beta T cell male adult (21 year)	
DNASE	brain male embryo (101 day)	
DNASE	placenta female embryo (101 day) and male embryo (105 days)	
DNASE	renal pelvis male embryo (91 day)	
DNASE	lung embryo (80 days) and male embryo (76 days)	
DNASE	Ammon's horn male adult (84 years)	
DNASE	muscle of back female embryo (105 days)	
DNASE	lung male embryo (82 days)	
DNASE	left renal cortex interstitium male embryo (105 days)	
DNASE	trophoblast cell embryo (17 weeks) and embryo (18 weeks)	
DNASE	RPMI8226	
DNASE	small intestine male embryo (91 day)	
DNASE	brain embryo (56 days) and male embryo (58 days)	
DNASE	pancreas female adult (30 years)	
DNASE	adrenal gland female adult (53 years)	
DNASE	breast epithelium female adult (51 year)	
DNASE	left kidney male embryo (87 days)	
DNASE	renal pelvis female embryo (96 days)	
DNASE	stomach male embryo (127 days)	
DNASE	CD8-positive, alpha-beta T cell female adult (34 years)	
DNASE	spinal cord female embryo (89 days)	
DNASE	muscle of arm male embryo (97 days)	
DNASE	renal pelvis female embryo (105 days)	
DNASE	HAP-1	
DNASE	SJSA1	
DNASE	retina embryo (74 days) and embryo (85 days)	
DNASE	muscle of leg male embryo (127 days)	
DNASE	fibroblast of skin of abdomen male embryo (97 days)	
DNASE	bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days	
DNASE	stomach female embryo (147 days)	
DNASE	lung male embryo (54 days) and male embryo (58 days)	
DNASE	T-cell male adult (36 years)	
DNASE	T-cell male adult (21 year)	
DNASE	HK-2	
DNASE	NCI-H460	
DNASE	left lung male embryo (96 days)	
DNASE	common myeloid progenitor, CD34-positive male adult (23 years)	
DNASE	stomach female adult (51 year)	
DNASE	CD4-positive, alpha-beta T cell female adult (33 years)	
DNASE	kidney female embryo (113 days)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	placenta female embryo (85 days)	
DNASE	brain male embryo (122 days)	
DNASE	muscle of arm male embryo (97 days)	
DNASE	renal cortex interstitium female embryo (103 days)	
DNASE	thyroid gland female adult (51 year)	
DNASE	NAMALWA	
DNASE	heart embryo (59 days) and female embryo (76 days)	
DNASE	large intestine male embryo (105 days)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	right kidney male embryo (96 days)	
DNASE	CD14-positive monocyte male adult (37 years)	
DNASE	ELF-1	
DNASE	spinal cord female embryo (113 days)	
DNASE	spleen embryo (112 days)	
DNASE	left lung female embryo (107 days)	
DNASE	thymus female embryo	
DNASE	CD4-positive, alpha-beta T cell male adult (21 year)	
DNASE	stomach female embryo (96 days)	
DNASE	EL	
DNASE	CD14-positive monocyte female adult (34 years)	
DNASE	thyroid gland female adult (53 years)	
DNASE	adrenal gland female embryo (113 days)	
DNASE	muscle of back male embryo (96 days)	
DNASE	SJCRH30	
DNASE	natural killer cell male adult (21 year)	
DNASE	heart male embryo (72 days) and male embryo (76 days)	
DNASE	midbrain male adult (78 years) and male adult (84 years)	
DNASE	ovary female adult (30 years)	
DNASE	mesendoderm originated from H1-hESC	
DNASE	natural killer cell male adult (37 years)	
DNASE	natural killer cell female adult (34 years)	
DNASE	foreskin keratinocyte male newborn	
DNASE	stomach female embryo	
DNASE	adrenal gland male embryo (108 days)	
DNASE	testis male embryo	
DNASE	mesenchymal stem cell originated from H1-hESC	
DNASE	vagina female adult (51 year)	
DNASE	common myeloid progenitor, CD34-positive male adult (43 years)	
DNASE	heart right ventricle female embryo (101 day) and female embryo (103 days)	
DNASE	L1-S8R	
DNASE	heart female embryo (116 days) and female embryo (98 days)	
DNASE	MCF 10A treated with 1 uM tamoxifen for 24 hours	
DNASE	right renal pelvis male embryo (105 days)	
DNASE	muscle of arm female embryo (98 days)	
DNASE	H9 G1 phase genetically modified using stable transfection	
DNASE	tibial nerve male adult (37 years)	
DNASE	kidney male embryo (85 days)	
DNASE	tongue female embryo (59 days) and female embryo (76 days)	
DNASE	transverse colon female adult (51 year)	
DNASE	right renal pelvis male embryo (105 days)	
DNASE	large intestine male embryo (91 day)	
DNASE	right kidney female embryo (117 days)	
DNASE	right kidney male embryo (91 day)	
DNASE	skin fibroblast male embryo (97 days)	
DNASE	globus pallidus male adult (78 years) and male adult (84 years)	
DNASE	kidney female embryo (105 days)	
DNASE	right atrium auricular region female adult (53 years)	
DNASE	thymus female embryo (147 days)	
DNASE	stomach male adult (34 years)	
DNASE	eye embryo (56 days) and male embryo (76 days)	
DNASE	esophagus squamous epithelium male adult (37 years)	
DNASE	glomerular visceral epithelial cell child (3 years)	
DNASE	muscle of back male embryo (127 days)	
DNASE	spinal cord male embryo (96 days)	
DNASE	MCF 10A	
DNASE	transverse colon male adult (54 years)	
DNASE	kidney embryo (59 days) and female embryo (59 days)	
DNASE	H1-hESC	
DNASE	large intestine female embryo (98 days)	
DNASE	large intestine female embryo (103 days)	
DNASE	placenta male embryo (85 days)	
DNASE	left lung female embryo (91 day)	
DNASE	heart embryo (80 days)	
DNASE	femur female embryo (98 days)	
DNASE	H4	
DNASE	trophoblast cell embryo (23 weeks)	
DNASE	urinary bladder male embryo (76 days)	
DNASE	HT-29	
DNASE	limb embryo (53 days) and embryo (56 days)	
DNASE	retina female embryo (89 days)	
DNASE	dedifferentiated amniotic fluid mesenchymal stem cell	
DNASE	upper lobe of left lung female adult (53 years)	
DNASE	brain female embryo (105 days)	
DNASE	muscle of arm embryo (101 day)	
DNASE	renal cortex interstitium male embryo (108 days)	
DNASE	pons male adult (78 years)	
DNASE	thymus female embryo (105 days)	
DNASE	CD8-positive, alpha-beta T cell female adult (33 years)	
DNASE	cardiac muscle cell	
DNASE	CD8-positive, alpha-beta T cell male adult (21 year)	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 8 days, kit ligand for 8 days, hydrocortisone succinate for 8 days, erythropoietin for 8 days	
DNASE	right lung female embryo (117 days)	
DNASE	right lung male embryo (105 days)	
DNASE	lung female embryo (96 days)	
DNASE	adrenal gland male adult (54 years)	
DNASE	renal cortex interstitium male embryo (127 days)	
DNASE	spleen male adult (54 years)	
DNASE	renal cortex interstitium female embryo (89 days)	
DNASE	ascending aorta female adult (51 year)	
DNASE	ovary female adult (51 year)	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 13 days, kit ligand for 13 days, hydrocortisone succinate for 13 days, erythropoietin for 13 days	
DNASE	cardiac fibroblast female embryo (94 days) and female embryo (98 days)	
DNASE	adrenal gland male embryo (85 days)	
DNASE	large intestine male embryo (108 days)	
DNASE	occipital lobe male adult (84 years)	
DNASE	right lung female embryo (107 days)	
DNASE	small intestine female embryo (105 days)	
DNASE	muscle of leg male embryo (104 days)	
DNASE	lower leg skin female adult (53 years)	
DNASE	adrenal gland female adult (51 year)	
DNASE	adrenal gland female embryo (85 days)	
DNASE	muscle of arm male embryo (115 days)	
DNASE	right kidney female embryo (147 days)	
DNASE	kidney female embryo (76 days) and male embryo (76 days)	
DNASE	large intestine female embryo (108 days)	
DNASE	right kidney female embryo (98 days)	
DNASE	right renal cortex interstitium male embryo (120 days)	
DNASE	muscle of arm male embryo (96 days)	
DNASE	thymus male embryo (108 days)	
DNASE	B cell female adult (34 years)	
DNASE	thyroid gland male adult (54 years)	
DNASE	spinal cord female embryo (59 days) and male embryo (72 days)	
DNASE	heart embryo (96 days)	
DNASE	renal pelvis female embryo (89 days)	
DNASE	renal pelvis male embryo (108 days)	
DNASE	heart female embryo (103 days)	
DNASE	H9	
DNASE	K562	
DNASE	left renal cortex interstitium male embryo (105 days)	
DNASE	right lung female embryo (108 days)	
DNASE	stomach female embryo (96 days)	
DNASE	small intestine male adult (34 years)	
DNASE	renal cortex interstitium female embryo (96 days)	
DNASE	A172	
DNASE	left lung male embryo (115 days)	
DNASE	muscle of leg male embryo (115 days)	
DNASE	hematopoietic multipotent progenitor cell treated with interleukin-3 for 15 days, kit ligand for 15 days, hydrocortisone succinate for 15 days, erythropoietin for 15 days	
DNASE	muscle of leg female embryo (115 days)	
DNASE	PC-9	
DNASE	kidney female embryo (108 days)	
DNASE	stomach embryo (101 day)	
DNASE	H9 G2 phase genetically modified using stable transfection	
DNASE	esophagus muscularis mucosa male adult (37 years)	
DNASE	small intestine male embryo (108 days)	
DNASE	heart left ventricle female embryo (101 day) and female embryo (103 days)	
DNASE	SK-N-DZ	
DNASE	brain male embryo (104 days)	
DNASE	right lung male embryo (87 days)	
DNASE	muscle of arm male embryo (105 days)	
DNASE	muscle of arm male embryo (104 days)	
DNASE	kidney female embryo (105 days)	
DNASE	left lung male embryo (105 days)	
DNASE	left kidney female embryo (107 days)	
DNASE	Peyer's patch male adult (37 years)	
DNASE	renal pelvis male embryo (113 days)	
DNASE	prostate gland male adult (37 years)	
DNASE	HeLa-S3	
DNASE	left lung female embryo (110 days)	
DNASE	thymus male embryo (104 days)	
DNASE	neural progenitor cell originated from H9	
DNASE	trophoblast cell embryo (39 weeks) and embryo (40 weeks)	
DNASE	right lung male embryo (96 days)	
DNASE	H9 G1 phase genetically modified using stable transfection	
DNASE	small intestine male embryo (87 days)	
DNASE	spinal cord female embryo (87 days)	
DNASE	left kidney female embryo (110 days)	
DNASE	arm bone male embryo (81 day)	
DNASE	testis male adult (54 years)	
DNASE	transverse colon male adult (37 years)	
DNASE	right renal pelvis male embryo (105 days)	
DNASE	lung embryo (101 day)	
DNASE	inferior parietal cortex male adult (84 years)	
DNASE	kidney capillary endothelial cell female embryo (113 days)	
DNASE	placenta male embryo (91 day)	
DNASE	right kidney male embryo (115 days)	
DNASE	coronary artery female adult (51 year)	
ATAC	BM0106-Day0-MCP-A / Bone Marrow CD34+ / pDC	
ATAC	BM0106-UNK-ATAC-2 / Bone Marrow CD34+ / UNK	
ATAC	BM0828-MEGA1-A-151109 / Bone Marrow CD34+ / Mega	
ATAC	BM1077-MCP / Bone Marrow CD34+ / pDC	
ATAC	BM1077-UNK / Bone Marrow CD34+ / UNK	
ATAC	BM1137-GMP1-low-ATAC-2 / Bone Marrow CD34+ / GMP-A	
ATAC	BM1137-GMP2-mid-ATAC-1 / Bone Marrow CD34+ / GMP-B	
ATAC	BM1137-GMP3-high-ATAC-2 / Bone Marrow CD34+ / GMP-C	
ATAC	BM1214-Day0-MCP / Bone Marrow CD34+ / pDC	
ATAC	BM1214-Day0-UNK-A / Bone Marrow CD34+ / UNK	
ATAC	A Cardiomyocyte	
ATAC	Alveolar Type 2	
ATAC	Fetal Fibro Muscle 1	
ATAC	Fetal Fibro Placental 1	
ATAC	Fetal Fibro Placental 2	
ATAC	Fetal Fibro Splenic	
ATAC	Fetal Gastri Goblet	
ATAC	Fetal Goblet	
ATAC	Fetal Hematopoeitic Stem	
ATAC	Fetal Hepatoblast	
ATAC	Fetal Inhibitory Neuron 1	
ATAC	Fetal Inhibitory Neuron 2	
ATAC	Astrocyte 1	
ATAC	Fetal Inhibitory Neuron 3	
ATAC	Fetal Inhibitory Neuron 4	
ATAC	Fetal Inhibitory Neuron 5	
ATAC	Fetal Islet	
ATAC	Fetal Lymphatic	
ATAC	Fetal Macrophage General 1	
ATAC	Fetal Macrophage General 2	
ATAC	Fetal Macrophage General 3	
ATAC	Fetal Macrophage General 4	
ATAC	Fetal Macrophage Hepatic 1	
ATAC	Astrocyte 2	
ATAC	Fetal Macrophage Hepatic 2	
ATAC	Fetal Macrophage Hepatic 3	
ATAC	Fetal Macrophage Placental	
ATAC	Fetal Megakaryocyte	
ATAC	Fetal Mesangial 1	
ATAC	Fetal Mesangial 2	
ATAC	Fetal Mesothelial	
ATAC	Fetal Metanephric	
ATAC	Fetal Oligo Progenitor 2	
ATAC	Fetal Parietal+Chief	
ATAC	BBB Endothelial	
ATAC	Fetal Photoreceptor	
ATAC	Fetal Placental Neuron	
ATAC	Fetal Pulmonary Neuroendocrine	
ATAC	Fetal Retinal Neuron	
ATAC	Fetal Retinal Pigment	
ATAC	Fetal Retinal Progenitor 1	
ATAC	Fetal Retinal Progenitor 2	
ATAC	Fetal Satellite 1	
ATAC	Fetal Satellite 2	
ATAC	Fetal Schwann General	
ATAC	Beta 1	
ATAC	Fetal Skeletal Myocyte 1	
ATAC	Fetal Skeletal Myocyte 2	
ATAC	Fetal Skeletal Myocyte 3	
ATAC	Fetal Stellate	
ATAC	Fetal Sympathoblast	
ATAC	Fetal Syncitio+Cytotrophoblast	
ATAC	Fetal T Lymphocyte 1 (CD4+)	
ATAC	Fetal T Lymphocyte 2 (Cytotoxic)	
ATAC	Fetal T Lymphocyte 3 (IL2+)	
ATAC	Fetal T Lymphocyte 4 (FASLG+)	
ATAC	Beta 2	
ATAC	Fetal Thymocyte	
ATAC	Fetal Ureteric Bud	
ATAC	Fetal V Cardiomyocyte	
ATAC	Fibro Epithelial	
ATAC	Fibro GI	
ATAC	Fibro General	
ATAC	Fibro Liver Adrenal	
ATAC	Fibro Muscle	
ATAC	Fibro Nerve	
ATAC	Follicular	
ATAC	Cardiac Fibroblast	
ATAC	Foveolar	
ATAC	GABA 1	
ATAC	GABA 2	
ATAC	Gastric Neuroendocrine	
ATAC	Glomerulosa	
ATAC	Glutamatergic 1	
ATAC	Glutamatergic 2	
ATAC	Hepatocyte	
ATAC	Keratinocyte 1	
ATAC	Keratinocyte 2	
ATAC	Cardiac Pericyte 1	
ATAC	Luteal	
ATAC	Lymphatic	
ATAC	Macrophage Gen or Alv	
ATAC	Macrophage General	
ATAC	Mammary Basal Epi	
ATAC	Mammary Epithelial	
ATAC	Mammary Luminal Epi 1	
ATAC	Mammary Luminal Epi 2	
ATAC	Mast	
ATAC	Melanocyte	
ATAC	Cardiac Pericyte 2	
ATAC	Memory B	
ATAC	Mesothelial	
ATAC	Microglia	
ATAC	Myoepithelial	
ATAC	Naive T	
ATAC	Natural Killer T	
ATAC	Nerve Stromal	
ATAC	Oligo Precursor	
ATAC	Oligodendrocyte	
ATAC	Paneth	
ATAC	Cardiac Pericyte 3	
ATAC	Parietal	
ATAC	Pericyte General 1	
ATAC	Pericyte General 2	
ATAC	Pericyte General 3	
ATAC	Pericyte General 4	
ATAC	Pericyte Muscularis	
ATAC	Plasma B	
ATAC	SI Goblet	
ATAC	Satellite	
ATAC	Schwann General	
ATAC	Acinar	
ATAC	Cardiac Pericyte 4	
ATAC	Skin Basal Epidermal	
ATAC	Skin Eccrine Epidermal	
ATAC	Skin Granular Epidermal	
ATAC	Sm Ms Colon 1	
ATAC	Sm Ms Colon 2	
ATAC	Sm Ms GE junction	
ATAC	Sm Ms GI	
ATAC	Sm Ms General	
ATAC	Sm Ms Mucosal	
ATAC	Sm Ms Muscularis 1	
ATAC	Chief	
ATAC	Sm Ms Muscularis 2	
ATAC	Sm Ms Muscularis 3	
ATAC	Sm Ms Uterine	
ATAC	Sm Ms Vaginal	
ATAC	T Lymphocyte 1 (CD8+)	
ATAC	T lymphocyte 2 (CD4+)	
ATAC	Transitional Cortical	
ATAC	Tuft	
ATAC	Type I Skeletal Myocyte	
ATAC	Type II Skeletal Myocyte	
ATAC	Cilliated	
ATAC	V Cardiomyocyte	
ATAC	Vasc Sm Muscle 1	
ATAC	Vasc Sm Muscle 2	
ATAC	Club	
ATAC	Colon Epithelial 1	
ATAC	Colon Epithelial 2	
ATAC	Colon Epithelial 3	
ATAC	Colon Goblet	
ATAC	Cortical Epithelial	
ATAC	Delta+Gamma	
ATAC	Adipocyte	
ATAC	Ductal	
ATAC	Endocardial	
ATAC	Endothelial Exocrine	
ATAC	Endothelial General 1	
ATAC	Endothelial General 2	
ATAC	Endothelial General 3	
ATAC	Endothelial Myocardial	
ATAC	Enteric Neuron	
ATAC	Enterochromaffin	
ATAC	Enterocyte	
ATAC	Airway Goblet	
ATAC	Esophageal Epithelial	
ATAC	Fasciculata	
ATAC	Fetal A Cardiomyocyte	
ATAC	Fetal Acinar 1	
ATAC	Fetal Acinar 2	
ATAC	Fetal Adrenal Cortical	
ATAC	Fetal Adrenal Neuron	
ATAC	Fetal Alveolar Cap Endo	
ATAC	Fetal Alveolar Epithelial 1	
ATAC	Fetal Alveolar Epithelial 2	
ATAC	Alpha 1	
ATAC	Fetal Astrocyte 1	
ATAC	Fetal Astrocyte 2	
ATAC	Fetal Astrocyte 3	
ATAC	Fetal Astrocyte 4	
ATAC	Fetal Astrocyte 5	
ATAC	Fetal B Lymphocyte 1 (SPIB+)	
ATAC	Fetal B Lymphocyte 2 (CXCR5+)	
ATAC	Fetal B Lymphocyte 3 (NPY+)	
ATAC	Fetal Cardiac Fibroblast	
ATAC	Fetal Cholangiocyte	
ATAC	Alpha 2	
ATAC	Fetal Chromaffin	
ATAC	Fetal Cilliated	
ATAC	Fetal Ductal	
ATAC	Fetal Endocardial	
ATAC	Fetal Endothelial General 1	
ATAC	Fetal Endothelial General 2	
ATAC	Fetal Endothelial General 3	
ATAC	Fetal Endothelial Hepatic 1	
